전체주중주말,주운행선,Date,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원
주말,경부선,2023-04-01,29776,1576024,1831775,468841.8520840393,34360.22784929453,544505.5476340114,16.27500284089381,191.02710837650721,9.745436850474492,0,220,0,0,220,70,70,112,1732,14809.172617886179
주말,경부선,2023-05-01,25512,1350332,1611120,404207.2782819125,29764.467495013494,481505.5167547422,14.319138614617179,162.98372562322734,8.656263564590153,0,188,0,0,188,60,60,96,1484,13029.26868292683
주말,경부선,2023-06-01,27626,1462285,1678704,438168.6043171657,31972.98219868573,502554.30920143356,14.925069530253994,178.16104575102855,8.954923283384955,0,221,0,0,221,65,65,104,1607,13580.946341463416
주말,경부선,2023-07-01,29344,1553104,1688805,481917.66570777004,34911.90435555601,523491.53446216206,15.22389210276213,193.3015200825327,9.269144754470585,0,222,0,0,222,70,70,112,1708,13842.368325856614
주말,경부선,2023-08-01,25512,1350332,1519750,415866.59534712747,30514.13374544276,467634.03991668404,13.509209781491645,163.56283029798317,8.377445100001847,0,191,0,0,191,60,60,96,1484,12292.206959349594
주말,경부선,2023-09-01,29016,1532930,1730278,474761.7007550588,34312.03005594916,539398.9856030515,15.944945941657178,193.75894551538855,9.515121456,0,242,26,1,215,70,70,112,1732,14167.654575816656
주말,경부선,2023-10-01,28494,1504603,1823506,444628.62456475396,32310.056834082978,538047.5269200307,15.75576429547079,178.8993013,9.541075536044167,0,207,13,0,194,65,65,104,1713,13838.937152040406
주말,경부선,2023-11-01,26280,1387832,1776440,405666.12991716736,29403.274360031806,519086.9480694271,15.360401544149862,165.55238130779668,9.181769530991724,0,196,0,0,196,60,60,96,1580,13492.10204901567
주말,경부선,2023-12-01,32850,1733984,2030693,506435.5856521464,36883.959224578204,591764.8464197988,17.56352274926488,205.99942199041288,10.511291161614894,0,239,0,0,239,75,75,120,1975,15420.675371635196
주말,경부선,2024-01-01,26280,1385414,1512083,406493.48713437293,29521.676832655918,443227.2906268679,13.098805300448243,165.22933105713807,7.856453867812348,0,185,0,0,185,60,60,96,1580,11485.455489869713
주말,경부선,2024-02-01,26352,1389358,1566682,410021.66101299966,29920.498610751325,461722.60447607475,13.533424147376252,164.45376287137245,8.226019562742149,0,177,39,0,138,60,60,96,1584,11870.27309
주말,경부선,2024-03-01,32850,1732000,2009616,500104.9752601413,36444.86076386942,580005.3283727788,17.40800364243966,205.8718944396992,10.31592565,0,232,0,0,232,75,75,120,1975,15265.822189060436
주말,경부선,2024-04-01,0,1385724,0,0,0,0,0,0,10.192442382062534,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2024-05-01,0,1389844,0,0,0,0,0,0,9.103269096178195,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2024-06-01,0,1389844,0,0,0,0,0,0,9.401928814972997,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2024-07-01,0,1389844,0,0,0,0,0,0,9.716150286058626,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2024-08-01,0,1389844,0,0,0,0,0,0,8.824450631589889,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2024-09-01,0,1389844,0,0,0,0,0,0,9.962126987118792,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2024-10-01,0,1389844,0,0,0,0,0,0,9.988081067632208,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2024-11-01,0,1389844,0,0,0,0,0,0,9.628775062579766,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2024-12-01,0,1389844,0,0,0,0,0,0,10.958296693202936,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-01-01,0,1389844,0,0,0,0,0,0,7.856453867812348,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-02-01,0,1389844,0,0,0,0,0,0,8.226019562742149,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-03-01,0,1389844,0,0,0,0,0,0,10.31592565,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-04-01,0,1389844,0,0,0,0,0,0,10.192442382062534,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-05-01,0,1389844,0,0,0,0,0,0,9.103269096178195,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-06-01,0,1389844,0,0,0,0,0,0,9.401928814972997,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-07-01,0,1389844,0,0,0,0,0,0,9.716150286058626,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-08-01,0,1389844,0,0,0,0,0,0,8.824450631589889,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-09-01,0,1389844,0,0,0,0,0,0,9.962126987118792,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-10-01,0,1389844,0,0,0,0,0,0,9.988081067632208,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-11-01,0,1389844,0,0,0,0,0,0,9.628775062579766,0,0,0,0,0,0,0,0,1580,0
주말,경부선,2025-12-01,0,1389844,0,0,0,0,0,0,10.958296693202936,0,0,0,0,0,0,0,0,1580,0
